#                  name    selected    formation_energy
    SCEL7_7_1_1_0_6_5/12          1         -0.06162513
    SCEL7_7_1_1_0_6_5/13          1         -0.03859078
    SCEL7_7_1_1_0_6_5/14          1         -0.02633408
    SCEL7_7_1_1_0_6_5/15          1         -0.02155253
    SCEL8_1_1_8_0_0_0/0           1         -0.01552776
    SCEL8_1_1_8_0_0_0/1           1         -0.00825499
    SCEL8_1_1_8_0_0_0/2           1         -0.02710495
    SCEL8_1_1_8_0_0_0/4           1         -0.01064197
    SCEL8_1_1_8_0_0_0/5           1         -0.01420269
    SCEL8_1_1_8_0_0_0/6           1         -0.01097218
    SCEL8_1_1_8_0_0_0/7           1         -0.01938009
    SCEL8_1_1_8_0_0_0/8           1         -0.04399709
    SCEL8_1_1_8_0_0_0/9           1         -0.01902346
    SCEL8_1_1_8_0_0_0/10          1         -0.01806933
    SCEL8_1_1_8_0_0_0/11          1         -0.02023544
    SCEL8_1_1_8_0_0_0/12          1         -0.00998932
    SCEL8_1_1_8_0_0_0/13          1         0.00343119
    SCEL8_1_1_8_0_0_0/14          1         -0.02509730
    SCEL8_1_1_8_0_0_0/15          1         -0.00444913
    SCEL8_1_1_8_0_0_0/16          1         -0.00200090
    SCEL8_1_1_8_0_0_0/17          1         -0.00837985
    SCEL8_1_1_8_0_0_0/18          1         -0.00393199
    SCEL8_1_1_8_0_0_0/19          1         -0.02961791
    SCEL8_1_1_8_0_0_0/20          1         -0.01336826
    SCEL8_1_1_8_0_0_0/21          1         -0.01586351
    SCEL8_1_1_8_0_0_0/22          1         0.00369959
    SCEL8_1_1_8_0_0_0/23          1         -0.00284473
    SCEL8_2_2_2_0_0_0/0           1         -0.04957965
    SCEL8_2_2_2_0_0_0/1           1         -0.09151136
    SCEL8_2_2_2_0_0_0/2           1         -0.02989319
    SCEL8_2_2_2_0_0_0/3           1         -0.02968005
    SCEL8_2_2_2_0_0_0/4           1         -0.05801922
    SCEL8_2_2_2_0_0_0/5           1         -0.04241333
    SCEL8_2_2_2_0_0_0/6           1         -0.04780991
    SCEL8_2_2_2_0_0_0/7           1         -0.01809648
    SCEL8_2_4_1_0_1_1/0           1         -0.05330584
    SCEL8_2_4_1_0_1_1/1           1         -0.05643898
    SCEL8_2_4_1_0_1_1/2           1         -0.10113716
    SCEL8_2_4_1_0_1_1/3           1         -0.06837460
    SCEL8_2_4_1_0_1_1/4           1         -0.05857110
    SCEL8_2_4_1_0_1_1/5           1         -0.08447506
    SCEL8_2_4_1_0_1_1/6           1         -0.04681929
    SCEL8_2_4_1_0_1_1/7           1         -0.02747838
    SCEL8_2_4_1_0_1_1/8           1         -0.07221140
    SCEL8_2_4_1_0_1_1/9           1         -0.04346624
    SCEL8_2_4_1_0_1_1/10          1         -0.04653723
    SCEL8_2_4_1_0_1_1/11          1         -0.01921172
    SCEL8_2_4_1_0_1_1/12          1         -0.07375442
    SCEL8_2_4_1_0_1_1/13          1         -0.04038517
    SCEL8_2_4_1_0_1_1/14          1         -0.05486850
    SCEL8_2_4_1_0_1_1/15          1         -0.02370533
    SCEL8_2_4_1_0_1_1/16          1         -0.01965688
